srtm_12_04,X,Y
1608.0000000000,-122.2108327300,43.0825001450
1611.0000000000,-122.2099993900,43.0825001450
1614.0000000000,-122.2091660600,43.0825001450
1616.0000000000,-122.2083327300,43.0825001450
1616.0000000000,-122.2074993900,43.0825001450
1618.0000000000,-122.2066660600,43.0825001450
1617.0000000000,-122.2058327300,43.0825001450
1619.0000000000,-122.2049993900,43.0825001450
1620.0000000000,-122.2041660600,43.0825001450
1622.0000000000,-122.2033327300,43.0825001450
1623.0000000000,-122.2024993900,43.0825001450
1626.0000000000,-122.2016660600,43.0825001450
1629.0000000000,-122.2008327300,43.0825001450
1629.0000000000,-122.1999993900,43.0825001450
1629.0000000000,-122.1991660600,43.0825001450
1632.0000000000,-122.1983327300,43.0825001450
1631.0000000000,-122.1974993900,43.0825001450
1631.0000000000,-122.1966660600,43.0825001450
1636.0000000000,-122.1958327300,43.0825001450
1636.0000000000,-122.1949993900,43.0825001450
1639.0000000000,-122.1941660600,43.0825001450
1644.0000000000,-122.1933327300,43.0825001450
1649.0000000000,-122.1924993900,43.0825001450
1653.0000000000,-122.1916660600,43.0825001450
1654.0000000000,-122.1908327300,43.0825001450
1657.0000000000,-122.1899993900,43.0825001450
1660.0000000000,-122.1891660600,43.0825001450
1664.0000000000,-122.1883327300,43.0825001450
1664.0000000000,-122.1874993900,43.0825001450
1666.0000000000,-122.1866660600,43.0825001450
1666.0000000000,-122.1858327300,43.0825001450
1666.0000000000,-122.1849993900,43.0825001450
1667.0000000000,-122.1841660600,43.0825001450
1669.0000000000,-122.1833327300,43.0825001450
1670.0000000000,-122.1824993900,43.0825001450
1671.0000000000,-122.1816660600,43.0825001450
1671.0000000000,-122.1808327300,43.0825001450
1673.0000000000,-122.1799993900,43.0825001450
1673.0000000000,-122.1791660600,43.0825001450
1674.0000000000,-122.1783327300,43.0825001450
1676.0000000000,-122.1774993900,43.0825001450
1678.0000000000,-122.1766660600,43.0825001450
1681.0000000000,-122.1758327300,43.0825001450
1682.0000000000,-122.1749993900,43.0825001450
1683.0000000000,-122.1741660600,43.0825001450
1683.0000000000,-122.1733327300,43.0825001450
1686.0000000000,-122.1724993900,43.0825001450
1694.0000000000,-122.1716660600,43.0825001450
1706.0000000000,-122.1708327300,43.0825001450
1713.0000000000,-122.1699993900,43.0825001450
1717.0000000000,-122.1691660600,43.0825001450
1722.0000000000,-122.1683327300,43.0825001450
1727.0000000000,-122.1674993900,43.0825001450
1730.0000000000,-122.1666660600,43.0825001450
