USA_Canada,X,Y
0.0000000000,-118.4416666700,33.4841666420
0.0000000000,-118.4408333300,33.4841666420
0.0000000000,-118.4400000000,33.4841666420
0.0000000000,-118.4391666700,33.4841666420
0.0000000000,-118.4383333300,33.4841666420
0.0000000000,-118.4375000000,33.4841666420
0.0000000000,-118.4366666700,33.4841666420
0.0000000000,-118.4358333300,33.4841666420
0.0000000000,-118.4350000000,33.4841666420
0.0000000000,-118.4341666700,33.4841666420
0.0000000000,-118.4333333300,33.4841666420
0.0000000000,-118.4325000000,33.4841666420
0.0000000000,-118.4316666700,33.4841666420
0.0000000000,-118.4308333300,33.4841666420
0.0000000000,-118.4300000000,33.4841666420
0.0000000000,-118.4291666700,33.4841666420
0.0000000000,-118.4283333300,33.4841666420
0.0000000000,-118.4275000000,33.4841666420
0.0000000000,-118.4266666700,33.4841666420
0.0000000000,-118.4258333300,33.4841666420
0.0000000000,-118.4250000000,33.4841666420
0.0000000000,-118.4241666700,33.4841666420
0.0000000000,-118.4233333300,33.4841666420
0.0000000000,-118.4225000000,33.4841666420
0.0000000000,-118.4216666700,33.4841666420
0.0000000000,-118.4208333300,33.4841666420
0.0000000000,-118.4200000000,33.4841666420
0.0000000000,-118.4191666700,33.4841666420
0.0000000000,-118.4183333300,33.4841666420
0.0000000000,-118.4175000000,33.4841666420
0.0000000000,-118.4166666700,33.4841666420
0.0000000000,-118.4158333300,33.4841666420
0.0000000000,-118.4150000000,33.4841666420
0.0000000000,-118.4141666700,33.4841666420
0.0000000000,-118.4133333300,33.4841666420
0.0000000000,-118.4125000000,33.4841666420
0.0000000000,-118.4116666700,33.4841666420
0.0000000000,-118.4108333300,33.4841666420
0.0000000000,-118.4100000000,33.4841666420
0.0000000000,-118.4091666700,33.4841666420
0.0000000000,-118.4083333300,33.4841666420
0.0000000000,-118.4075000000,33.4841666420
0.0000000000,-118.4066666700,33.4841666420
0.0000000000,-118.4058333300,33.4841666420
0.0000000000,-118.4050000000,33.4841666420
0.0000000000,-118.4041666700,33.4841666420
0.0000000000,-118.4033333300,33.4841666420
0.0000000000,-118.4025000000,33.4841666420
0.0000000000,-118.4016666700,33.4841666420
0.0000000000,-118.4008333300,33.4841666420
0.0000000000,-118.4000000000,33.4841666420
